Nom_dé,Seed,Rank,Résultat,Index
Base_Dice,1711718741445446954,Iron,2,1
Base_Dice,1711718741445502830,Iron,2,1
Base_Dice,1711718741445526524,Iron,5,1
Base_Dice,1711718741445549037,Iron,6,1
Base_Dice,1711718741445571509,Iron,2,1
Base_Dice,1711718741445593858,Iron,3,1
Base_Dice,1711718741445616198,Iron,6,1
Base_Dice,1711718741445638607,Iron,6,1
Base_Dice,1711718741445660925,Iron,3,1
Base_Dice,1711718741445683220,Iron,4,1
Base_Dice,1711718741445705605,Iron,2,1
Base_Dice,1711718741445727943,Iron,1,1
Base_Dice,1711718741445750312,Iron,2,1
Base_Dice,1711718741445772706,Iron,4,1
Base_Dice,1711718741445795123,Iron,1,1
Base_Dice,1711718741445817476,Iron,5,1
Base_Dice,1711718741445839908,Iron,3,1
Base_Dice,1711718741445862245,Iron,6,1
Base_Dice,1711718741445884661,Iron,6,1
Base_Dice,1711718741445907086,Iron,3,1
Base_Dice,1711718741445929471,Iron,6,1
Base_Dice,1711718741445951882,Iron,2,1
Base_Dice,1711718741445974251,Iron,4,1
Base_Dice,1711718741445996637,Iron,1,1
Base_Dice,1711718741446019039,Iron,5,1
Base_Dice,1711718741446041412,Iron,1,1
Base_Dice,1711718741446063824,Iron,6,1
Base_Dice,1711718741446086200,Iron,6,1
Base_Dice,1711718741446108620,Iron,6,1
Base_Dice,1711718741446131002,Iron,5,1
Base_Dice,1711718741446153350,Iron,5,1
Base_Dice,1711718741446175763,Iron,2,1
Base_Dice,1711718741446198067,Iron,2,1
Base_Dice,1711718741446220420,Iron,3,1
Base_Dice,1711718741446242804,Iron,2,1
Base_Dice,1711718741446265208,Iron,2,1
Base_Dice,1711718741446287576,Iron,1,1
Base_Dice,1711718741446309987,Iron,3,1
Base_Dice,1711718741446332304,Iron,6,1
Base_Dice,1711718741446354645,Iron,5,1
Base_Dice,1711718741446377029,Iron,1,1
Base_Dice,1711718741446399439,Iron,3,1
Base_Dice,1711718741446421853,Iron,4,1
Base_Dice,1711718741446444250,Iron,6,1
Base_Dice,1711718741446466653,Iron,2,1
Base_Dice,1711718741446489032,Iron,6,1
Base_Dice,1711718741446512694,Iron,5,1
Base_Dice,1711718741446535742,Iron,1,1
Base_Dice,1711718741446558189,Iron,2,1
Base_Dice,1711718741446580608,Iron,5,1
Base_Dice,1711718741446602937,Iron,1,1
Base_Dice,1711718741446625345,Iron,2,1
Base_Dice,1711718741446647765,Iron,2,1
Base_Dice,1711718741446670146,Iron,2,1
Base_Dice,1711718741446692452,Iron,1,1
Base_Dice,1711718741446714834,Iron,4,1
Base_Dice,1711718741446737241,Iron,3,1
Base_Dice,1711718741446759635,Iron,6,1
Base_Dice,1711718741446782058,Iron,2,1
Base_Dice,1711718741446825048,Iron,3,1
Base_Dice,1711718741446847630,Iron,5,1
Base_Dice,1711718741446870101,Iron,1,1
Base_Dice,1711718741446892545,Iron,1,1
Base_Dice,1711718741446914960,Iron,5,1
Base_Dice,1711718741446937602,Iron,3,1
Base_Dice,1711718741446960019,Iron,2,1
Base_Dice,1711718741446982401,Iron,3,1
Base_Dice,1711718741447009075,Iron,6,1
Base_Dice,1711718741447031525,Iron,6,1
Base_Dice,1711718741447054131,Iron,4,1
Base_Dice,1711718741447076497,Iron,3,1
Base_Dice,1711718741447098812,Iron,3,1
Base_Dice,1711718741447121217,Iron,2,1
Base_Dice,1711718741447143574,Iron,3,1
Base_Dice,1711718741447165995,Iron,2,1
Base_Dice,1711718741447188387,Iron,5,1
Base_Dice,1711718741447211644,Iron,2,1
Base_Dice,1711718741447234605,Iron,6,1
Base_Dice,1711718741447259245,Iron,6,1
Base_Dice,1711718741447282675,Iron,5,1
Base_Dice,1711718741447305680,Iron,1,1
Base_Dice,1711718741447329565,Iron,2,1
Base_Dice,1711718741447352461,Iron,2,1
Base_Dice,1711718741447374858,Iron,1,1
Base_Dice,1711718741447397245,Iron,4,1
Base_Dice,1711718741447421386,Iron,2,1
Base_Dice,1711718741447445532,Iron,2,1
Base_Dice,1711718741447469643,Iron,5,1
Base_Dice,1711718741447493727,Iron,6,1
Base_Dice,1711718741447517846,Iron,5,1
Base_Dice,1711718741447541998,Iron,3,1
Base_Dice,1711718741447566188,Iron,6,1
Base_Dice,1711718741447590215,Iron,2,1
Base_Dice,1711718741447614340,Iron,3,1
Base_Dice,1711718741447638497,Iron,1,1
Base_Dice,1711718741447662637,Iron,2,1
Base_Dice,1711718741447686690,Iron,5,1
Base_Dice,1711718741447710834,Iron,4,1
Base_Dice,1711718741447735006,Iron,4,1
Base_Dice,1711718741447759143,Iron,2,1
Base_Dice,1711718741447783251,Iron,4,1
Base_Dice,1711718741447807375,Iron,2,1
Base_Dice,1711718741447831543,Iron,4,1
Base_Dice,1711718741447855662,Iron,1,1
Base_Dice,1711718741447879776,Iron,5,1
Base_Dice,1711718741447903853,Iron,2,1
Base_Dice,1711718741447927964,Iron,1,1
Base_Dice,1711718741447952061,Iron,1,1
Base_Dice,1711718741447976206,Iron,5,1
Base_Dice,1711718741448000212,Iron,2,1
Base_Dice,1711718741448024336,Iron,1,1
Base_Dice,1711718741448109522,Iron,2,1
Base_Dice,1711718741448135589,Iron,5,1
Base_Dice,1711718741448160376,Iron,5,1
Base_Dice,1711718741448185024,Iron,6,1
Base_Dice,1711718741448210395,Iron,2,1
Base_Dice,1711718741448234959,Iron,5,1
Base_Dice,1711718741448259086,Iron,1,1
Base_Dice,1711718741448283191,Iron,1,1
Base_Dice,1711718741448307303,Iron,1,1
Base_Dice,1711718741448331387,Iron,6,1
Base_Dice,1711718741448355444,Iron,2,1
Base_Dice,1711718741448379545,Iron,1,1
Base_Dice,1711718741448403619,Iron,2,1
Base_Dice,1711718741448427789,Iron,4,1
Base_Dice,1711718741448452721,Iron,2,1
Base_Dice,1711718741448478297,Iron,3,1
Base_Dice,1711718741448504076,Iron,4,1
Base_Dice,1711718741448529308,Iron,1,1
Base_Dice,1711718741448553129,Iron,3,1
Base_Dice,1711718741448575561,Iron,4,1
Base_Dice,1711718741448598302,Iron,6,1
Base_Dice,1711718741448620708,Iron,5,1
Base_Dice,1711718741448643112,Iron,5,1
Base_Dice,1711718741448665500,Iron,5,1
Base_Dice,1711718741448688751,Iron,6,1
Base_Dice,1711718741448711768,Iron,6,1
Base_Dice,1711718741448734793,Iron,2,1
Base_Dice,1711718741448757317,Iron,3,1
Base_Dice,1711718741448779681,Iron,3,1
Base_Dice,1711718741448802141,Iron,1,1
Base_Dice,1711718741448824471,Iron,3,1
Base_Dice,1711718741448846867,Iron,5,1
Base_Dice,1711718741448869266,Iron,3,1
Base_Dice,1711718741448891692,Iron,5,1
Base_Dice,1711718741448914112,Iron,5,1
Base_Dice,1711718741448936484,Iron,3,1
Base_Dice,1711718741448958985,Iron,4,1
Base_Dice,1711718741448981360,Iron,4,1
Base_Dice,1711718741449003705,Iron,5,1
Base_Dice,1711718741449026099,Iron,2,1
Base_Dice,1711718741449048535,Iron,1,1
Base_Dice,1711718741449070925,Iron,6,1
Base_Dice,1711718741449093293,Iron,4,1
Base_Dice,1711718741449115685,Iron,3,1
Base_Dice,1711718741449138102,Iron,6,1
Base_Dice,1711718741449160521,Iron,1,1
Base_Dice,1711718741449185255,Iron,2,1
Base_Dice,1711718741449209370,Iron,5,1
Base_Dice,1711718741449233447,Iron,4,1
Base_Dice,1711718741449257553,Iron,2,1
Base_Dice,1711718741449281674,Iron,1,1
Base_Dice,1711718741449305766,Iron,3,1
Base_Dice,1711718741449329864,Iron,4,1
Base_Dice,1711718741449353972,Iron,6,1
Base_Dice,1711718741449378095,Iron,6,1
Base_Dice,1711718741449402163,Iron,3,1
Base_Dice,1711718741449426302,Iron,4,1
Base_Dice,1711718741449450466,Iron,3,1
Base_Dice,1711718741449474541,Iron,2,1
Base_Dice,1711718741449498673,Iron,4,1
Base_Dice,1711718741449529493,Iron,1,1
